93 201
-7.037849e+00 5.825171e+00 -8.779677e+00 201 621
2.283661e+00 3.753590e+00 1.144454e+01 0.000000e+00
2.334447e+00 3.837067e+00 1.169905e+01 3.000000e-02
2.384044e+00 3.918588e+00 1.194761e+01 6.000000e-02
2.432403e+00 3.998073e+00 1.218995e+01 9.000000e-02
2.479474e+00 4.075443e+00 1.242585e+01 1.200000e-01
2.525213e+00 4.150623e+00 1.265507e+01 1.500000e-01
2.569574e+00 4.223537e+00 1.287739e+01 1.800000e-01
2.612513e+00 4.294115e+00 1.309257e+01 2.100000e-01
2.653987e+00 4.362286e+00 1.330042e+01 2.400000e-01
2.693957e+00 4.427982e+00 1.350073e+01 2.700000e-01
2.732382e+00 4.491140e+00 1.369329e+01 3.000000e-01
2.769224e+00 4.551697e+00 1.387793e+01 3.300000e-01
2.804447e+00 4.609593e+00 1.405445e+01 3.600000e-01
2.838017e+00 4.664771e+00 1.422269e+01 3.900000e-01
2.869900e+00 4.717176e+00 1.438247e+01 4.200000e-01
2.900065e+00 4.766757e+00 1.453364e+01 4.500000e-01
2.928482e+00 4.813465e+00 1.467605e+01 4.800000e-01
2.955123e+00 4.857254e+00 1.480956e+01 5.100000e-01
2.979961e+00 4.898080e+00 1.493404e+01 5.400000e-01
3.002973e+00 4.935903e+00 1.504936e+01 5.700000e-01
3.024135e+00 4.970687e+00 1.515541e+01 6.000000e-01
3.043426e+00 5.002396e+00 1.525209e+01 6.300000e-01
3.060828e+00 5.030999e+00 1.533930e+01 6.600000e-01
3.076324e+00 5.056468e+00 1.541696e+01 6.900000e-01
3.089897e+00 5.078779e+00 1.548498e+01 7.200000e-01
3.101535e+00 5.097908e+00 1.554330e+01 7.500000e-01
3.111227e+00 5.113837e+00 1.559187e+01 7.800000e-01
3.118962e+00 5.126551e+00 1.563064e+01 8.100000e-01
3.124732e+00 5.136036e+00 1.565956e+01 8.400000e-01
3.128534e+00 5.142284e+00 1.567861e+01 8.700000e-01
3.130361e+00 5.145288e+00 1.568776e+01 9.000000e-01
3.130214e+00 5.145046e+00 1.568702e+01 9.300000e-01
3.128091e+00 5.141557e+00 1.567639e+01 9.600000e-01
3.123995e+00 5.134824e+00 1.565586e+01 9.900000e-01
3.117930e+00 5.124856e+00 1.562547e+01 1.020000e+00
3.109903e+00 5.111661e+00 1.558524e+01 1.050000e+00
3.099920e+00 5.095253e+00 1.553521e+01 1.080000e+00
3.087991e+00 5.075646e+00 1.547543e+01 1.110000e+00
3.074130e+00 5.052863e+00 1.540596e+01 1.140000e+00
3.058349e+00 5.026923e+00 1.532687e+01 1.170000e+00
